Iteration,Reward Min,Reward Mean,Reward Max,Episode Length Mean
1.0,-3517.0898663162316,-2781.76460643736,-1953.4036892760057,6.820689655172414
2.0,-5822.704896060783,-3542.251645223338,-2171.6777622919185,8.38655462184874
3.0,-5638.300846784865,-2782.651507756289,-1507.2209102167444,6.931034482758621
4.0,-1932.1078946738032,-1896.7447855996654,-1512.2826779041611,4.990049751243781
5.0,-2102.0582313537275,-1953.2675032575214,-1906.0002842083643,5.0
6.0,-1927.4377828487522,-1733.7387137527166,-1495.558615909139,4.62962962962963
7.0,-1854.7506538107332,-1612.600917781692,-1494.5354302881256,4.324675324675325
8.0,-1850.7589391485612,-1624.3141345228723,-1492.5368650629998,4.366812227074236
9.0,-1853.9051286289964,-1644.1786617334635,-1493.302741732924,4.429203539823009
10.0,-1851.3425427524428,-1671.0957300045945,-1491.6252979982055,4.504504504504505
11.0,-1855.52967118146,-1661.2569575472203,-1490.0799984654018,4.46875
12.0,-1855.0196729219565,-1664.6952293728848,-1490.3643927392197,4.477678571428571
13.0,-1853.4990936892839,-1666.16621965429,-1495.1683793581183,4.481981981981982
14.0,-1855.2309909123874,-1662.1102626182899,-1494.899319729875,4.466666666666667
15.0,-1854.7553560633005,-1683.71270158806,-1491.5725627359282,4.531818181818182
