Iteration,Reward Min,Reward Mean,Reward Max,Episode Length Mean
1.0,-4312.848765103523,-3324.4951293482377,-2361.014582041794,6.684563758389261
2.0,-5322.684032223139,-3959.2903750790947,-2672.129579343524,7.84251968503937
3.0,-7283.945837747507,-3658.9442348730636,-1815.6539851511661,7.297101449275362
4.0,-2833.9033960801094,-2217.121680398325,-1813.536408513451,4.811594202898551
5.0,-2313.133498986915,-2009.3920645587814,-1816.4821996078915,4.379912663755459
6.0,-2307.173911701546,-1962.8389054110287,-1813.159418196117,4.291845493562231
7.0,-2300.9161216667585,-1974.7185999572819,-1807.9884160341194,4.32034632034632
8.0,-2296.7956677747316,-1970.4378294392905,-1806.9356392573836,4.314655172413793
9.0,-2300.569267980942,-2005.9479805938338,-1813.1208057192916,4.390350877192983
10.0,-2300.656132129001,-2030.1924040125004,-1808.7044812829083,4.44
11.0,-2300.1387419051493,-2047.1882301780668,-1809.780401562309,4.479820627802691
12.0,-2303.95077514217,-2022.8153201805067,-1806.0229990715902,4.424778761061947
13.0,-2301.1638778703636,-2046.0023691099357,-1810.5746400134585,4.475336322869955
14.0,-2305.6877374731253,-2041.6049625894577,-1806.138215230959,4.46875
15.0,-2304.0412201388235,-2035.5681135084153,-1812.2094165111114,4.448888888888889
