Iteration,Reward Min,Reward Mean,Reward Max,Episode Length Mean
1.0,14134.598857335759,17321.90255581876,21257.471454899798,6.848275862068966
2.0,11423.025274544714,19065.85376084661,24324.38352033462,7.382352941176471
3.0,11223.902871736489,18839.950390751754,24663.15685210982,7.392592592592592
4.0,15440.878542126862,19264.33077317187,24665.758542188025,7.035460992907802
5.0,21068.78556033145,23984.78416794331,24636.987569939585,8.9375
6.0,21110.63926723381,24030.58323967323,24664.447166072947,8.955357142857142
7.0,21152.987817097728,24126.504860982444,24306.45897403147,8.991071428571429
8.0,23960.907432754022,24155.939263737677,24237.237518127436,9.0
9.0,23942.302066889144,24136.018645054286,24238.348005465436,9.0
10.0,24038.42118080322,24135.723716814842,24228.117043333306,9.0
11.0,23979.13840762479,24121.812936364557,24229.139777209235,9.0
12.0,23969.504984077597,24114.73323192873,24208.377717847663,9.0
13.0,24003.589669296587,24125.113602166097,24235.662871123706,9.0
14.0,24025.992868166624,24126.508835069162,24208.062165998675,9.0
15.0,23968.956712823296,24115.63490699056,24227.932932088905,9.0
