Iteration,Reward Min,Reward Mean,Reward Max,Episode Length Mean
1.0,-11597.744571555486,-6314.275313195118,-2419.0847139602656,13.84375
2.0,-12968.429517364822,-5533.859281643101,-2222.0723248310605,12.33641975308642
3.0,-9950.322894728484,-4872.266731702455,-1980.4812492591582,11.066298342541437
4.0,-9194.718226273313,-4359.306816070061,-2247.8640245565684,10.017543859649123
5.0,-7929.297944750799,-4042.3822315474454,-1877.062711830467,9.408450704225352
6.0,-7992.729633240318,-3676.281042250401,-1664.8862174233661,8.689130434782609
7.0,-8463.2829205031,-3498.4295840176874,-1643.8368652282131,8.313929313929314
8.0,-6971.091052815658,-3239.247199658822,-1655.6876084280188,7.774757281553398
9.0,-5924.672343360753,-3061.7020481335744,-1399.0468961769664,7.440520446096654
10.0,-5534.980504306932,-2815.8818553557057,-1340.2269680428321,6.975524475524476
11.0,-5159.848017140851,-2711.838611376379,-1324.0497769277706,6.743676222596965
12.0,-6008.5692693140945,-2546.1370269466465,-1265.200645127984,6.426966292134831
13.0,-5091.772227853011,-2451.428189707539,-1149.0708555835722,6.241433021806854
14.0,-4129.686413256519,-2348.332614277383,-1153.027765077217,6.033182503770739
15.0,-4382.502189223039,-2252.507779333916,-1253.4031539216617,5.836496350364963
