Iteration,Reward Min,Reward Mean,Reward Max,Episode Length Mean
1.0,-12005.938576430852,-7305.769219545625,-3038.705654561606,13.643835616438356
2.0,-13097.05745738063,-6512.073354944063,-2566.44160080552,12.158054711246201
3.0,-12526.182298360216,-5780.9489749028635,-2546.6185950401905,10.939890710382514
4.0,-11664.737430952157,-5154.425742626155,-2328.1820367808878,9.915632754342433
5.0,-10810.672867206678,-4768.461465364402,-1976.606778464692,9.237327188940093
6.0,-10375.825565393847,-4403.6278689549545,-2035.2368693598228,8.571734475374733
7.0,-8532.351118394914,-4102.289672621365,-1654.8773875055153,8.064516129032258
8.0,-8091.752590159403,-3860.29154504015,-2091.9395127621738,7.644359464627151
9.0,-10302.635251591479,-3640.2464040746668,-1984.3273573041743,7.263636363636364
10.0,-7863.741002412736,-3429.5805413031803,-2048.7845841110975,6.918825561312608
11.0,-7076.787858821938,-3230.7006509339126,-1766.9009415269475,6.620860927152318
12.0,-8362.66690521479,-3063.299840369958,-1966.9536896114005,6.317034700315458
13.0,-6649.058217934977,-2946.9934654710883,-1801.1236461599208,6.1523076923076925
14.0,-6935.310489721857,-2829.4718729553692,-1764.940945810835,5.927299703264095
15.0,-6200.170736614093,-2680.3060162619245,-1704.7687400640548,5.719599427753934
