Iteration,Reward Min,Reward Mean,Reward Max,Episode Length Mean
1.0,17185.434300382218,39489.80856953032,77693.04196915793,13.926829268292684
2.0,21052.096180994027,45270.28287877127,84979.89265490661,15.48062015503876
3.0,26456.96201809405,52732.053408011634,102725.84981019403,17.808035714285715
4.0,32641.92838245072,63885.1725159207,122396.07725224772,21.23404255319149
5.0,33568.66232990258,74997.52996146012,147747.76862070974,24.91304347826087
6.0,38143.322438238174,89248.48063384833,190552.07339631786,29.07246376811594
7.0,41759.32069875717,107977.95832144025,201896.19228220492,34.85964912280702
8.0,49587.89563113869,129557.5699142368,260278.01452872696,40.65
9.0,49587.89563113869,151892.35575613327,290741.7586474186,48.03
10.0,77216.45039877824,180460.14862785803,333305.8317020637,55.55
11.0,90919.70600099045,192166.4097207787,361985.6556072924,59.08
12.0,90919.70600099045,221273.11910028587,422588.50632115547,66.07
13.0,117783.45090802081,255203.22708052502,439282.05829483113,74.71
14.0,132663.25271368696,274216.1094717626,439282.05829483113,80.57
15.0,145629.02211698,297241.35885943775,462920.85524283245,88.21
