Iteration,Reward Min,Reward Mean,Reward Max,Episode Length Mean
1.0,17124.306899878968,37806.20899777925,65628.78724641015,13.720689655172414
2.0,18814.426156711837,43171.52846317787,81025.90807242085,15.476744186046512
3.0,20262.741457773038,51456.74240536074,105002.16468853563,18.05855855855856
4.0,24875.82978157979,59682.58333980505,107987.8503628567,20.51794871794872
5.0,28341.610032853634,71298.94298905374,127185.7883543506,24.108527131782946
6.0,28341.610032853634,72961.08997187992,148517.48697433335,24.93
7.0,27876.09236265923,73655.74408350431,148517.48697433335,24.65
8.0,27876.09236265923,74726.96498531452,121911.18186562194,25.39
9.0,33822.037798680605,77505.08594950983,130819.56224791109,26.31
10.0,37936.28640205509,89883.71001440627,164684.9215213474,30.01
11.0,36539.85368530114,97068.05796598751,186118.49862672036,31.92
12.0,36539.85368530114,105147.81235053991,186118.49862672036,34.22
13.0,55224.57328716287,104392.40100312623,166833.11485259645,34.67
14.0,40564.42378275559,94225.48831258363,169604.82590096464,32.24
15.0,40564.42378275559,95054.01405901976,169604.82590096464,33.62
