Iteration,Reward Min,Reward Mean,Reward Max,Episode Length Mean
1.0,-8015.008189406094,-5827.219887314381,-4195.083888009725,13.285714285714286
2.0,-8015.008189406094,-5558.968689831299,-3822.6186119058716,12.533333333333333
3.0,-8836.42795284872,-5578.35977956367,-3406.720249150601,12.478260869565217
4.0,-8836.42795284872,-5197.8677367384535,-3283.0162244518438,11.848484848484848
5.0,-8836.42795284872,-5291.93798188596,-3283.0162244518438,12.048780487804878
6.0,-8836.42795284872,-5309.209308941884,-3283.0162244518438,12.0
7.0,-8836.42795284872,-5318.162078710357,-3283.0162244518438,12.052631578947368
8.0,-8836.42795284872,-5328.8629506548195,-3283.0162244518438,12.061538461538461
9.0,-8836.42795284872,-5352.33509239846,-3283.0162244518438,12.094594594594595
10.0,-8836.42795284872,-5340.151463036143,-3283.0162244518438,12.060975609756097
11.0,-8836.42795284872,-5347.81352703191,-3283.0162244518438,12.055555555555555
12.0,-8836.42795284872,-5370.7273093173235,-3283.0162244518438,12.061224489795919
13.0,-8836.42795284872,-5279.095652195645,-3113.4756349423424,11.9
14.0,-8836.42795284872,-5309.657925553182,-3113.4756349423424,11.98
15.0,-8605.795485116343,-5310.124464050359,-3113.4756349423424,12.01
