Iteration,Reward Min,Reward Mean,Reward Max,Episode Length Mean
1.0,-8583.673169041569,-6614.214733692118,-5544.191958884764,12.285714285714286
2.0,-8676.498507796145,-6539.883291799545,-4863.380166738741,12.466666666666667
3.0,-10260.23853451976,-6814.289758815786,-4863.380166738741,12.782608695652174
4.0,-10260.23853451976,-6866.3147272522,-4745.107066045225,12.774193548387096
5.0,-10260.23853451976,-6756.251574193384,-4665.524990302877,12.615384615384615
6.0,-13327.088642832206,-6921.618231356707,-4665.524990302877,12.847826086956522
7.0,-13327.088642832206,-6899.760498206889,-4342.075129464426,12.777777777777779
8.0,-13327.088642832206,-6672.2058508236405,-3228.117204814086,12.396825396825397
9.0,-13327.088642832206,-6692.511543163527,-3228.117204814086,12.507042253521126
10.0,-13327.088642832206,-6699.521049020202,-3228.117204814086,12.531645569620252
11.0,-13327.088642832206,-6714.878812892638,-3228.117204814086,12.586206896551724
12.0,-13327.088642832206,-6679.042957618366,-3228.117204814086,12.51063829787234
13.0,-13327.088642832206,-6699.2670444219075,-3228.117204814086,12.51
14.0,-13327.088642832206,-6726.7069593842925,-3228.117204814086,12.58
15.0,-13737.722672927985,-6732.720799077127,-3228.117204814086,12.57
