Iteration,Reward Min,Reward Mean,Reward Max,Episode Length Mean
1.0,-65.46862899981284,-47.01834726426942,-32.409975454018095,6.835616438356165
2.0,-62.06689432710628,-43.23092859030799,-26.546065246826412,8.538461538461538
3.0,-46.59906790058455,-36.02302086249456,-26.237523086381042,12.13
4.0,-46.67001999186708,-37.26230094002594,-27.887331174394873,10.49
5.0,-44.170816548700806,-31.01989882709906,-17.589267734831914,11.87
6.0,-33.26296444466577,-21.54857991136612,-8.94820496118242,9.94
7.0,-29.836831388247173,-17.08771547497356,-15.132077509185791,10.0
8.0,-21.09285451100306,-15.828501080094792,-8.03977449835682,10.01
9.0,-16.82396386877305,-15.294007315719387,-14.46286697969773,10.26
10.0,-16.744745517826672,-15.542084126126317,-14.454995846885765,10.72
11.0,-16.87284168330261,-15.500510093160324,-14.451012705566114,10.6
12.0,-16.933656695178904,-15.295369660296775,-14.541644253303751,10.38
13.0,-17.79409000608863,-15.216033817313775,-14.567144684858782,10.02
14.0,-17.948094438551657,-12.337019610655725,-7.897574502146227,9.571428571428571
15.0,-10.813873420946756,-9.947632983315875,-9.1540150925819,9.0
